name,molweight,critical temperature (K),acentric factor,boiling point (K)
"2,2,4-trimethyl-4-ethylheptane",170.33844,647.57,0.403,467.15
"2,2,4-trimethyl-4-ethylhexane",156.31156,636,0.361,451.15
"2,2,4-trimethyl-4-heptanol",158.28408,609.52,0.724,454.15
"2,2,4-trimethyl-5-ethylheptane",170.33844,634,0.432,460.15
"2,2,4-trimethylheptane",142.28468,594.5,0.389,421.46
"2,2,4-trimethylhexane",128.2578,573.5,0.321,399.69
"2,2,4-trimethylnonane",170.33844,635.7,0.461,464.15
"2,2,4-trimethyloctane",156.31156,618.73,0.419,444.65
"2,2,4-trimethylpentane",114.23092,543.8,0.303,372.39
"2,2,5,5,6-pentamethylheptane",170.33844,640.53,0.375,459.15
"2,2,5,5-tetramethyl-3-ethylhexane",170.33844,632.16,0.375,453.15
"2,2,5,5-tetramethyl-3-hexanol",158.28408,597.94,0.693,443.15
"2,2,5,5-tetramethylheptane",156.31156,619.08,0.361,439.15
"2,2,5,5-tetramethylhex-3-ene",140.2688,616.98,0.457,397.45
"2,2,5,5-tetramethylhexane",142.28468,581.4,0.377,410.61
"2,2,5,5-tetramethyloctane",170.33844,633.71,0.403,457.15
"2,2,5,6-tetramethylheptane",156.31156,619.24,0.391,442.15
"2,2,5,6-tetramethyloctane",170.33844,638.14,0.432,463.15
"2,2,5,7-tetramethyloctane",170.33844,631.25,0.432,458.15
"2,2,5-trimethyl-3-ethylheptane",170.33844,638.14,0.432,463.15
"2,2,5-trimethyl-3-ethylhexane",156.31156,620.64,0.391,443.15
"2,2,5-trimethyl-3-hexanol",144.2572,586.38,0.716,433.15
"2,2,5-trimethyl-3-isopropylhexane",170.33844,628.22,0.404,453.15
"2,2,5-trimethyl-4-ethylheptane",170.33844,632.63,0.432,459.15
"2,2,5-trimethyl-4-ethylhexane",156.31156,615.04,0.391,439.15
"2,2,5-trimethyl-4-heptanol",158.28408,607.56,0.757,455
"2,2,5-trimethyl-4-isopropylhexane",170.33844,628.22,0.404,453.15
"2,2,5-trimethyl-5-ethylheptane",170.33844,640.64,0.403,462.15
"2,2,5-trimethylheptane",142.28468,598,0.389,423.96
"2,2,5-trimethylhexane",128.2578,569.8,0.345,397.24
"2,2,5-trimethylnonane",170.33844,635.7,0.461,464.15
"2,2,5-trimethyloctane",156.31156,618.03,0.419,444.15
"2,2,6,6-tetramethylheptane",156.31156,614.86,0.361,436.15
"2,2,6,6-tetramethyloctane",170.33844,635.1,0.403,458.15
"2,2,6,7-tetramethyloctane",170.33844,639.52,0.432,464.15
"2,2,6-trimethyl-3-ethylheptane",170.33844,638.14,0.432,463.15
"2,2,6-trimethyl-3-heptanol",158.28408,618.25,0.757,463
"2,2,6-trimethyl-4-ethylheptane",170.33844,624.36,0.432,453.15
"2,2,6-trimethyl-4-heptanol",158.28408,607.56,0.757,455
"2,2,6-trimethyl-5-ethylheptane",170.33844,634,0.432,460.15
"2,2,6-trimethylheptane",142.28468,593.4,0.396,422.09
"2,2,6-trimethylnonane",170.33844,634.33,0.461,463.15
"2,2,6-trimethyloctane",156.31156,622.21,0.419,447.15
"2,2,7,7-tetramethyloctane",170.33844,635.1,0.403,458.15
"2,2,7-trimethylnonane",170.33844,641.18,0.461,468.15
"2,2,7-trimethyloctane",156.31156,616.64,0.419,443.15
"2,2,8-trimethylnonane",170.33844,641.18,0.461,468.15
"2,2-dibromo-3-methylbutane",229.9424,666.02,0.382,442.45
"2,2-dibromobutane",215.91552,636.75,0.369,417.15
"2,2-dibromopentane",229.9424,661.45,0.414,443.15
"2,2-dibromopropane",201.88864,607.05,0.325,388.25
"2,2-dichloro-1,1,1-trifluoroethane",152.9305496,456.94,0.282,301.05
"2,2-dichloro-3,3-dimethylbutane",155.06668,633.09,0.397,444.73
"2,2-dichloro-3-methylbutane",141.0398,633.42,0.262,418
"2,2-dichlorobutane",127.01292,578.17,0.247,376.15
"2,2-dichloroheptane",169.09356,654.02,0.442,454.15
"2,2-dichlorohexane",155.06668,633.09,0.397,444.73
"2,2-dichloropentane",141.0398,601.15,0.291,400.15
"2,2-dichloropropane",112.98604,539.46,0.198,342.46
"2,2-dicyclohexylpropane",208.38732,766.86,0.471,559.15
"2,2-diethyl-1-butanol",130.23032,605.76,0.738,446
"2,2-difluoro-3-methylbutane",108.1312064,467.07,0.261,308.67
"2,2-difluorobutane",94.1043264,466.65,0.246,304.05
"2,2-difluoropentane",108.1312064,499.35,0.29,332.85
"2,2-difluoropropane",80.0774464,428.96,0.202,272.75
"2,2-diiodo-3-methylbutane",323.94334,759.04,0.242,496.41
"2,2-diiodobutane",309.91646,735.41,0.227,473.97
"2,2-diiodopentane",323.94334,752.99,0.271,496.85
"2,2-diiodopropane",295.88958,709.92,0.183,446.15
"2,2-dimethyl,3,3-diethylhexane",170.33844,655.89,0.403,473.15
"2,2-dimethyl-1,3-butanediol",118.17596,630.45,1.105,475.55
"2,2-dimethyl-1,3-propanediamine",102.17964,637.67,0.591,426.15
"2,2-dimethyl-1,4-butanediol",118.17596,636.35,1.105,480
"2,2-dimethyl-1-butanol",102.17656,589,0.518,409.95
"2,2-dimethyl-1-heptanol",144.2572,623,0.78,465.15
"2,2-dimethyl-1-hexanol",130.23032,605.29,0.738,445.65
"2,2-dimethyl-1-octanol",158.28408,636.2,0.819,481.15
"2,2-dimethyl-1-pentanol",116.20344,587.65,0.695,426.15
"2,2-dimethyl-1-propanethiol",104.21628,570,0.281,376.83
"2,2-dimethyl-1-propanol",88.14968,550,0.604,386.25
"2,2-dimethyl-3,3-diethylpentane",156.31156,651.51,0.361,462.15
"2,2-dimethyl-3,4-diethylhexane",170.33844,638.14,0.432,463.15
"2,2-dimethyl-3-butanone",100.16068,576.61,0.362,394.21
"2,2-dimethyl-3-ethyl-1-pentanol",144.2572,620.7,0.748,461
"2,2-dimethyl-3-ethyl-3-pentanol",144.2572,608.69,0.682,447.15
"2,2-dimethyl-3-ethylheptane",156.31156,624.99,0.419,449.15
"2,2-dimethyl-3-ethyloctane",170.33844,642.55,0.461,469.15
"2,2-dimethyl-3-ethylpentane",128.2578,590,0.335,406.99
"2,2-dimethyl-3-heptanol",144.2572,607.23,0.748,451
"2,2-dimethyl-3-hexanol",130.23032,586.35,0.706,429.25
"2,2-dimethyl-3-hexanone",128.21444,624,0.528,419.15
"2,2-dimethyl-3-isopropylheptane",170.33844,638.14,0.432,463.15
"2,2-dimethyl-3-isopropylhexane",156.31156,623.44,0.391,445.15
"2,2-dimethyl-3-octanol",158.28408,620.48,0.788,467
"2,2-dimethyl-3-octyne",138.25292,642.22,0.417,443.65
"2,2-dimethyl-3-pentanol",116.20344,567.71,0.662,409.15
"2,2-dimethyl-3-pentanone",114.18756,580.9,0.387,398.15
"2,2-dimethyl-3-tert-butylhexane",170.33844,654.48,0.375,469.15
"2,2-dimethyl-3-thiapentane",118.24316,588,0.286,393.56
"2,2-dimethyl-4,4-diethylhexane",170.33844,655.89,0.403,473.15
"2,2-dimethyl-4-ethyl-3-hexanol",158.28408,614.44,0.757,460.15
"2,2-dimethyl-4-ethylheptane",156.31156,613.86,0.419,441.15
"2,2-dimethyl-4-ethyloctane",170.33844,630.23,0.461,460.15
"2,2-dimethyl-4-heptanol",144.2572,602.05,0.748,447.15
"2,2-dimethyl-4-isopropylheptane",170.33844,627.12,0.432,455.15
"2,2-dimethyl-4-octanol",158.28408,615.36,0.788,463.15
"2,2-dimethyl-4-propylheptane",170.33844,626.12,0.461,457.15
"2,2-dimethyl-5-ethylheptane",156.31156,619.43,0.419,445.15
"2,2-dimethyl-5-ethyloctane",170.33844,632.97,0.461,462.15
"2,2-dimethyl-6-ethyloctane",170.33844,638.44,0.461,466.15
"2,2-dimethyl-cis-3-hexene",112.21504,559.69,0.287,378.58
"2,2-dimethyl-trans-3-hexene",112.21504,552.92,0.287,374
"2,2-dimethylbutanal",100.16068,558.82,0.37,377.15
"2,2-dimethylbutane",86.17716,489,0.234,322.88
"2,2-dimethylbutanenitrile",97.16008,588.3,0.379,402.15
"2,2-dimethylbutanoic acid",116.16008,653,0.567,460.15
"2,2-dimethyldecane",170.33844,645.65,0.489,474.15
"2,2-dimethyldodecane",198.3922,679.98,0.566,513.15
"2,2-dimethylheptadecane",268.5266,746.87,0.701,592.15
"2,2-dimethylheptane",128.2578,576.7,0.391,405.84
"2,2-dimethylhexadecane",254.49972,734.97,0.683,578.15
"2,2-dimethylhexane",114.23092,549.8,0.338,379.99
"2,2-dimethylnonane",156.31156,626.62,0.448,453.15
"2,2-dimethyloctadecane",282.55348,759.27,0.713,606.15
"2,2-dimethyloctane",142.28468,602,0.429,430.05
"2,2-dimethyloctanoic acid",172.2676,713,0.877,473.73
"2,2-dimethyloxirane",72.10692,521,0.171,324.65
"2,2-dimethylpentadecane",240.47284,722.25,0.66,563.15
"2,2-dimethylpentane",100.20404,520.5,0.287,352.34
"2,2-dimethylpropanal",86.1338,525.74,0.325,347.15
"2,2-dimethylpropanenitrile",83.1332,565.78,0.335,378.75
"2,2-dimethylpropanoic acid",102.1332,632,0.513,436.95
"2,2-dimethylpropyl butanoate",158.24072,607,0.822,460.31
"2,2-dimethylpropyl formate",116.16008,575,0.348,390.97
"2,2-dimethylpropyl propanoate",144.21384,593,0.677,437.43
"2,2-dimethylpropylamine",87.16496,517.1,0.384,350.15
"2,2-dimethyltetradecane",226.44596,708.68,0.632,547.15
"2,2-dimethyltetrahydrofuran",100.16068,563.41,0.269,365.35
"2,2-dimethylthiacyclohexane",130.25416,657.02,0.249,427.18
"2,2-dimethylthiacyclopentane",116.22728,623.18,0.235,400.03
"2,2-dimethylthiacyclopropane",88.17352,574.84,0.206,359.15
"2,2-dimethyltridecane",212.41908,694.17,0.601,530.15
"2,2-dimethylundecane",184.36532,663.4,0.529,494.15
"2,2-diphenylpropane",196.29204,788.27,0.43,554.34
"2,3'-trimethylbiphenyl",182.26516,781.7,0.495,547.15
"2,3,3,4,4,5-hexamethylhexane",170.33844,672.82,0.347,479.15
"2,3,3,4,4-pentamethylheptane",170.33844,664.25,0.375,476.15
"2,3,3,4,4-pentamethylhexane",156.31156,653.15,0.333,460.15
"2,3,3,4,5-pentamethylheptane",170.33844,655.95,0.404,473.15
"2,3,3,4,5-pentamethylhexane",156.31156,640.29,0.362,454.15
"2,3,3,4,6-pentamethylheptane",170.33844,649.01,0.404,468.15
"2,3,3,4-tetramethyl-2-pentanol",144.2572,620.23,0.651,453
"2,3,3,4-tetramethyl-4-ethylhexane",170.33844,671.22,0.375,481.15
"2,3,3,4-tetramethylheptane",156.31156,637.45,0.391,455.15
"2,3,3,4-tetramethylhexane",142.28468,633.1,0.334,437.75
"2,3,3,4-tetramethyloctane",170.33844,653.29,0.432,474.15
"2,3,3,4-tetramethylpentane",128.2578,607.5,0.314,414.7
"2,3,3,5,5-pentamethylheptane",170.33844,660.06,0.375,473.15
"2,3,3,5,6-pentamethylheptane",170.33844,644.85,0.404,465.15
"2,3,3,5-tetramethyl-4-ethylhexane",170.33844,651.79,0.404,470.15
"2,3,3,5-tetramethylheptane",156.31156,629.04,0.391,449.15
"2,3,3,5-tetramethylhexane",142.28468,610.1,0.351,426.26
"2,3,3,5-tetramethyloctane",170.33844,643.65,0.432,467.15
"2,3,3,6-tetramethylheptane",156.31156,627.64,0.391,448.15
"2,3,3,6-tetramethyloctane",170.33844,646.41,0.432,469.15
"2,3,3,7-tetramethyloctane",170.33844,646.41,0.432,469.15
"2,3,3-tribromobutane",294.81158,721.95,0.462,479.15
"2,3,3-trichlorobutane",161.45768,633.36,0.271,416.15
"2,3,3-trifluorobutane",112.0947896,432.9,0.269,285.06
"2,3,3-trimethyl-1-butanol",116.20344,601.01,0.662,433.15
"2,3,3-trimethyl-1-butene",98.18816,531,0.239,351.04
"2,3,3-trimethyl-1-pentanol",130.23032,613.33,0.706,449
"2,3,3-trimethyl-1-pentene",112.21504,565.71,0.272,381.46
"2,3,3-trimethyl-2-butanol",116.20344,568.02,0.595,404.15
"2,3,3-trimethyl-2-pentanol",130.23032,598.76,0.639,433.15
"2,3,3-trimethyl-4-ethylheptane",170.33844,650.54,0.432,472.15
"2,3,3-trimethyl-4-ethylhexane",156.31156,638.85,0.391,456.15
"2,3,3-trimethyl-5-ethylheptane",170.33844,643.65,0.432,467.15
"2,3,3-trimethylheptane",142.28468,617.5,0.371,433.36
"2,3,3-trimethylhexane",128.2578,596,0.333,410.84
"2,3,3-trimethylnonane",170.33844,650.77,0.461,475.15
"2,3,3-trimethyloctane",156.31156,633.34,0.419,455.15
"2,3,3-trimethylpentane",114.23092,573.5,0.29,387.92
"2,3,4,4,5-pentamethylheptane",170.33844,655.95,0.404,473.15
"2,3,4,4,6-pentamethylheptane",170.33844,642.08,0.404,463.15
"2,3,4,4-tetramethyl-2-hexanol",158.28408,624.93,0.693,463.15
"2,3,4,4-tetramethyl-2-pentanol",144.2572,620.23,0.651,453
"2,3,4,4-tetramethyl-3-ethylhexane",170.33844,671.22,0.375,481.15
"2,3,4,4-tetramethyl-3-hexanol",158.28408,639.77,0.693,474.15
"2,3,4,4-tetramethylheptane",156.31156,631.84,0.391,451.15
"2,3,4,4-tetramethylhexane",142.28468,626.6,0.339,434.76
"2,3,4,4-tetramethyloctane",170.33844,646.41,0.432,469.15
"2,3,4,5,5-pentamethylheptane",170.33844,651.79,0.404,470.15
"2,3,4,5,6-pentamethylheptane",170.33844,645.08,0.434,468.15
"2,3,4,5-tetramethyl-3-ethylhexane",170.33844,657.33,0.404,474.15
"2,3,4,5-tetramethylaniline",149.23584,690,0.69,532.65
"2,3,4,5-tetramethylheptane",156.31156,629.22,0.421,452.15
"2,3,4,5-tetramethylhexane",142.28468,613.2,0.365,429.36
"2,3,4,5-tetramethyloctane",170.33844,643.97,0.462,470.15
"2,3,4,5-tetramethylphenol",150.22056,757.92,0.538,533.15
"2,3,4,6-tetramethylaniline",149.23584,690,0.69,528.15
"2,3,4,6-tetramethylheptane",156.31156,622.26,0.421,447.15
"2,3,4,6-tetramethyloctane",170.33844,641.23,0.462,468.15
"2,3,4,6-tetramethylphenol",150.22056,743.7,0.538,523.15
"2,3,4,7-tetramethyloctane",170.33844,639.86,0.462,467.15
"2,3,4-trimethyl-1-pentanol",130.23032,619.59,0.741,456.15
"2,3,4-trimethyl-1-pentene",112.21504,557.76,0.308,381.15
"2,3,4-trimethyl-2-hexanol",144.2572,630.85,0.716,466
"2,3,4-trimethyl-2-pentanol",130.23032,592.43,0.674,431.15
"2,3,4-trimethyl-2-pentene",112.21504,574.12,0.297,389.41
"2,3,4-trimethyl-3-ethylheptane",170.33844,656.05,0.432,476.15
"2,3,4-trimethyl-3-ethylhexane",156.31156,644.45,0.391,460.15
"2,3,4-trimethyl-3-hexanol",144.2572,594.3,0.716,439
"2,3,4-trimethyl-3-isopropylhexane",170.33844,661.49,0.404,477.15
"2,3,4-trimethyl-3-isopropylpentane",156.31156,647.34,0.362,459.15
"2,3,4-trimethyl-3-pentanol",130.23032,591.06,0.674,430.15
"2,3,4-trimethyl-4-ethylheptane",170.33844,649.16,0.432,471.15
"2,3,4-trimethyl-4-ethylhexane",156.31156,634.64,0.391,453.15
"2,3,4-trimethyl-5-ethylheptane",170.33844,643.97,0.462,470.15
"2,3,4-trimethylheptane",142.28468,613.7,0.391,433.06
"2,3,4-trimethylhexane",128.2578,594.5,0.353,412.2
"2,3,4-trimethylnonane",170.33844,644.34,0.491,473.15
"2,3,4-trimethyloctane",156.31156,626.67,0.449,453.15
"2,3,4-trimethylpentane",114.23092,566.4,0.315,386.62
"2,3,4-trimethylphenol",136.19368,739.96,0.494,510.15
"2,3,4-trimethylpyridine",121.18208,653,0.376,465.65
"2,3,4-trimethylthiophene",126.2224,654.54,0.431,445.85
"2,3,5,5-tetramethyl-3-hexanol",158.28408,640.92,0.693,475
"2,3,5,5-tetramethylheptane",156.31156,623.44,0.391,445.15
"2,3,5,5-tetramethyloctane",170.33844,645.03,0.432,468.15
"2,3,5,6-tetramethylheptane",156.31156,623.65,0.421,448.15
"2,3,5,6-tetramethyloctane",170.33844,641.23,0.462,468.15
"2,3,5,6-tetramethylphenol",150.22056,740.86,0.538,521.15
"2,3,5,7-tetramethyloctane",170.33844,634.39,0.462,463.15
"2,3,5-trimethyl-3-ethylheptane",170.33844,648.47,0.432,470.65
"2,3,5-trimethyl-3-ethylhexane",156.31156,629.04,0.391,449.15
"2,3,5-trimethyl-3-hexanol",144.2572,594.3,0.716,439
"2,3,5-trimethyl-3-isopropylhexane",170.33844,647.63,0.404,467.15
"2,3,5-trimethyl-4-ethylheptane",170.33844,642.6,0.462,469.15
"2,3,5-trimethyl-4-ethylhexane",156.31156,626.44,0.421,450.15
"2,3,5-trimethyl-4-isopropylhexane",170.33844,638.19,0.434,463.15
"2,3,5-trimethyl-5-ethylheptane",170.33844,643.65,0.432,467.15
"2,3,5-trimethylheptane",142.28468,612.8,0.397,433.86
"2,3,5-trimethylhexane",128.2578,579.2,0.364,404.5
"2,3,5-trimethylnonane",170.33844,638.89,0.491,469.15
"2,3,5-trimethyloctane",156.31156,622.52,0.449,450.15
"2,3,5-trimethylphenol",136.19368,737.64,0.494,508.55
"2,3,5-trimethylpyridine",121.18208,653,0.376,457.15
"2,3,5-trimethylthiophene",126.2224,656.26,0.341,437.65
"2,3,6,6-tetramethyloctane",170.33844,642.27,0.432,466.15
"2,3,6,7-tetramethylnaphthalene",184.28104,810.54,0.535,585.41
"2,3,6,7-tetramethyloctane",170.33844,642.6,0.462,469.15
"2,3,6-trichlorotoluene",195.4748,737,0.26,483.65
"2,3,6-trimethyl-3-ethylheptane",170.33844,646.41,0.432,469.15
"2,3,6-trimethyl-3-heptanol",158.28408,618.25,0.757,463
"2,3,6-trimethyl-4-ethylheptane",170.33844,634.39,0.462,463.15
"2,3,6-trimethyl-5-ethylheptane",170.33844,638.5,0.462,466.15
"2,3,6-trimethylheptane",142.28468,604.1,0.403,429.16
"2,3,6-trimethylnaphthalene",170.25416,775.49,0.492,550.15
"2,3,6-trimethylnonane",170.33844,641.61,0.491,471.15
"2,3,6-trimethyloctane",156.31156,626.67,0.449,453.15
"2,3,6-trimethylphenol",136.19368,739.74,0.494,510
"2,3,6-trimethylpyridine",121.18208,653,0.376,444.75
"2,3,7-trimethylnonane",170.33844,645.7,0.491,474.15
"2,3,7-trimethyloctane",156.31156,625.29,0.449,452.15
"2,3,8-trimethylnonane",170.33844,644.34,0.491,473.15
"2,3-butanediamine, (R*,R*)-(±)",88.15276,612.33,0.533,396.09
"2,3-dibromo-2,3-dimethylbutane",243.96928,684.21,0.526,486.03
"2,3-dibromo-2-methylbutane",229.9424,668.37,0.377,444.01
"2,3-dibromobutane",215.91552,657.46,0.415,434.15
"2,3-dibromoheptane",257.99616,700.05,0.571,510.82
"2,3-dibromohexane",243.96928,684.21,0.526,469.15
"2,3-dibromopentane",229.9424,668.68,0.448,451.65
"2,3-dichloro-1-butene",124.99704,640,0.302,385.15
"2,3-dichloro-1-propanol",128.98544,647,0.699,457.15
"2,3-dichloro-2-methylbutane",141.0398,633.42,0.262,402.15
"2,3-dichlorobutane, dl and meso",127.01292,599,0.268,392.65
"2,3-dichlorohexane",155.06668,633.09,0.397,436.65
"2,3-dichlorooctane",183.12044,672.06,0.485,479.15
"2,3-dichloropentane",141.0398,614.06,0.323,412.15
"2,3-dichloropropene",110.97016,578,0.194,366.5
"2,3-dichlorotoluene",161.03004,710,0.343,480.65
"2,3-diethylnaphthalene",184.28104,812.35,0.537,585.41
"2,3-diethylphenol",150.22056,719.7,0.541,505
"2,3-difluoro-2-methylbutane",108.1312064,467.07,0.261,308.67
"2,3-difluorobutane",94.1043264,487.02,0.277,320.15
"2,3-difluoropentane",108.1312064,491,0.321,330
"2,3-dihydro-1,1,4,6-tetramethyl-1H-indene",174.28592,749.21,0.468,525.62
"2,3-dihydro-1,1,4,7-tetramethyl-1H-indene",174.28592,749.21,0.468,525.62
"2,3-dihydrofuran",70.09104,524,0.226,327.65
"2,3-diiodo-2-methylbutane",323.94334,759.04,0.242,496.41
"2,3-diiodobutane",309.91646,732.32,0.258,476.32
"2,3-diiodopentane",323.94334,750.13,0.302,499.2
"2,3-dimethyl-(1-thiaethyl)-benzene",152.26028,743.84,0.415,510.74
"2,3-dimethyl-1,2-butanediol",118.17596,636.35,1.105,480
"2,3-dimethyl-1,3-butadiene",82.1454,526,0.214,341.93
"2,3-dimethyl-1,3-butanediol",118.17596,636.35,1.105,480
"2,3-dimethyl-1-butanol",102.17656,599,0.576,422.15
"2,3-dimethyl-1-butanol, (±)-",102.17656,581.8,0.582,417.65
"2,3-dimethyl-1-butene",84.16128,501,0.233,328.76
"2,3-dimethyl-1-hexanol",130.23032,603.81,0.773,447
"2,3-dimethyl-1-hexene",112.21504,561,0.325,383.65
"2,3-dimethyl-1-pentanol",116.20344,599.26,0.731,437.15
"2,3-dimethyl-1-pentene",98.18816,532.72,0.288,357.43
"2,3-dimethyl-2,3-butanediol",118.17596,597.11,1.03,445.95
"2,3-dimethyl-2,3-diphenylbutane",238.37268,805,0.521,589
"2,3-dimethyl-2,3-pentanediol",132.20284,695.12,1.069,525.85
"2,3-dimethyl-2-butanethiol",118.24316,615,0.353,407.26
"2,3-dimethyl-2-butanol",102.17656,564.4,0.496,391.75
"2,3-dimethyl-2-butene",84.16128,528,0.224,346.35
"2,3-dimethyl-2-ethyl-1-butanol",130.23032,609.23,0.706,446
"2,3-dimethyl-2-heptanol",144.2572,612.62,0.748,455
"2,3-dimethyl-2-heptene",126.24192,593.62,0.411,418.35
"2,3-dimethyl-2-hexanol",130.23032,591.82,0.706,433.25
"2,3-dimethyl-2-hexene",112.21504,577.66,0.326,394.92
"2,3-dimethyl-2-pentanol",116.20344,571.87,0.662,412.15
"2,3-dimethyl-2-pentene",98.18816,553.47,0.282,370.55
"2,3-dimethyl-2-tert-butyl-1-butanol",158.28408,628.77,0.693,466
"2,3-dimethyl-3,4-diethylhexane",170.33844,657.43,0.432,477.15
"2,3-dimethyl-3-ethyl-2-pentanol",144.2572,627.54,0.682,461
"2,3-dimethyl-3-ethylheptane",156.31156,630.56,0.419,453.15
"2,3-dimethyl-3-ethyloctane",170.33844,650.77,0.461,475.15
"2,3-dimethyl-3-ethylpentane",128.2578,606.8,0.349,417.86
"2,3-dimethyl-3-heptanol",144.2572,602.05,0.748,447.15
"2,3-dimethyl-3-hexanol",130.23032,589.22,0.706,431.35
"2,3-dimethyl-3-isopropylheptane",170.33844,653.29,0.432,474.15
"2,3-dimethyl-3-isopropylhexane",156.31156,634.64,0.391,453.15
"2,3-dimethyl-3-octanol",158.28408,614.17,0.788,462.25
"2,3-dimethyl-3-pentanol",116.20344,573.26,0.662,413.15
"2,3-dimethyl-4,4-diethylhexane",170.33844,657.43,0.432,477.15
"2,3-dimethyl-4-ethylheptane",156.31156,625.29,0.449,452.15
"2,3-dimethyl-4-ethyloctane",170.33844,640.25,0.491,470.15
"2,3-dimethyl-4-ethylphenol",150.22056,725.91,0.54,510
"2,3-dimethyl-4-isopropylheptane",170.33844,637.13,0.462,465.15
"2,3-dimethyl-4-propylheptane",170.33844,636.16,0.491,467.15
"2,3-dimethyl-5-ethylheptane",156.31156,623.9,0.449,451.15
"2,3-dimethyl-5-ethyloctane",170.33844,636.16,0.491,467.15
"2,3-dimethyl-5-ethylphenol",150.22056,725.91,0.54,510
"2,3-dimethyl-6-ethyloctane",170.33844,642.97,0.491,472.15
"2,3-dimethyl-6-ethylphenol",150.22056,725.91,0.54,510
"2,3-dimethyl-cis-3-hexene",112.21504,567.08,0.322,387.15
"2,3-dimethyl-trans-3-hexene",112.21504,567.08,0.322,387.15
"2,3-dimethylaniline",121.18208,695.58,0.433,494.65
"2,3-dimethylbiphenyl",182.26516,802,0.416,551.15
"2,3-dimethylbutanal",100.16068,567.64,0.402,386.15
"2,3-dimethylbutane",86.17716,500,0.25,331.13
"2,3-dimethylbutanenitrile",97.16008,582.4,0.412,401.15
"2,3-dimethylbutanoic acid",116.16008,661,0.652,464.85
"2,3-dimethyldecane",170.33844,648.85,0.519,479.15
"2,3-dimethyldodecane",198.3922,686.04,0.595,520.15
"2,3-dimethylfuran",96.12892,559.41,0.332,367.65
"2,3-dimethylheptadecane",268.5266,754.89,0.722,600.15
"2,3-dimethylheptane",128.2578,589.6,0.385,413.66
"2,3-dimethylhexadecane",254.49972,742.82,0.706,586.15
"2,3-dimethylhexane",114.23092,563.5,0.346,388.76
"2,3-dimethylnaphthalene",156.22728,777.78,0.443,541.16
"2,3-dimethylnonane",156.31156,631.11,0.478,459.15
"2,3-dimethyloctadecane",282.55348,767.45,0.732,614.15
"2,3-dimethyloctane",142.28468,613,0.433,437.47
"2,3-dimethylpentadecane",240.47284,729.97,0.685,571.15
"2,3-dimethylpentane",100.20404,537.3,0.296,362.93
"2,3-dimethylpyridine",107.1552,655.4,0.358,434.35
"2,3-dimethylquinoline",157.21508,774.45,0.497,536.15
"2,3-dimethylstyrene",132.20528,679.34,0.375,465.57
"2,3-dimethyltetradecane",226.44596,716.26,0.659,555.15
"2,3-dimethyltetrahydrofuran",100.16068,563.4,0.282,370
"2,3-dimethylthiophene",112.19552,635.3,0.297,414.75
"2,3-dimethylthiophenol",138.2334,730.98,0.373,489.45
"2,3-dimethyltridecane",212.41908,701.64,0.629,538.15
"2,3-dimethylundecane",184.36532,669.37,0.558,501.15
"2,3-diphenyl-1-propene",194.27616,796.49,0.465,562.15
"2,3-hexadiene",82.1454,523.91,0.253,341.15
"2,3-pentadiene",68.11852,497,0.218,321.4
"2,3-xylenol",122.1668,722.95,0.516,490.07
"2,4'-dimethlbiphenyl",182.26516,788.2,0.455,547.15
"2,4,4,5,5-pentamethylheptane",170.33844,654.48,0.375,469.15
"2,4,4,5-tetramethyl-3-hexanol",158.28408,637.55,0.726,475
"2,4,4,5-tetramethylheptane",156.31156,626.24,0.391,447.15
"2,4,4,5-tetramethyloctane",170.33844,639.52,0.432,464.15
"2,4,4,6-tetramethylheptane",156.31156,612.24,0.391,437.15
"2,4,4,6-tetramethyloctane",170.33844,631.25,0.432,458.15
"2,4,4,7-tetramethyloctane",170.33844,629.87,0.432,457.15
"2,4,4-trimethyl-1-pentanol",130.23032,606.71,0.706,444.15
"2,4,4-trimethyl-1-pentene",112.21504,550,0.301,374.59
"2,4,4-trimethyl-2-hexanol",144.2572,634.35,0.682,466
"2,4,4-trimethyl-2-pentanol",130.23032,579.96,0.639,419.55
"2,4,4-trimethyl-2-pentene",112.21504,555,0.297,378.06
"2,4,4-trimethyl-3-ethylheptane",170.33844,643.65,0.432,467.15
"2,4,4-trimethyl-3-ethylhexane",156.31156,631.84,0.391,451.15
"2,4,4-trimethyl-3-hexanol",144.2572,601.27,0.716,444.15
"2,4,4-trimethyl-3-isopropylhexane",170.33844,644.85,0.404,465.15
"2,4,4-trimethyl-5-ethylheptane",170.33844,640.89,0.432,465.15
"2,4,4-trimethylheptane",142.28468,600.3,0.383,424.16
"2,4,4-trimethylhexane",128.2578,581,0.352,403.81
"2,4,4-trimethylnonane",170.33844,634.33,0.461,463.15
"2,4,4-trimethyloctane",156.31156,618.03,0.419,444.15
"2,4,4-trimethylpentene",112.21504,564.74,0.328,376.15
"2,4,5,5-tetramethylheptane",156.31156,629.04,0.391,449.15
"2,4,5,5-tetramethyloctane",170.33844,640.89,0.432,465.15
"2,4,5,6-tetramethyloctane",170.33844,639.86,0.462,467.15
"2,4,5,7-tetramethyloctane",170.33844,629.32,0.462,459.45
"2,4,5-trimethyl-2-hexanol",144.2572,630.85,0.716,466
"2,4,5-trimethyl-3-ethylheptane",170.33844,642.6,0.462,469.15
"2,4,5-trimethyl-4-ethylheptane",170.33844,645.03,0.432,468.15
