name,molweight,critical temperature (K),acentric factor,boiling point (K)
(S)-(+)-2-heptanol,116.20344,587.2,0.709,426.8
(S)-(+)-2-hexanol,102.17656,581.8,0.582,411.65
(S)-(+)-2-methoxypropanol,90.1222,569,0.759,430.7
(S)-(+)-2-methylbutyric acid,102.1332,640.04,0.599,409.77
(S)-(+)-2-methylbutyronitrile,83.1332,586.97,0.386,398.65
(S)-(+)-2-octanol,130.23032,600.92,0.733,451.05
(S)-(+)-2-pentanol,88.14968,562.34,0.577,391.65
(S)-(+)-sec-butylamine,73.13808,503.5,0.331,335.1
(S)-(-)-2-methyl-1-butanol,88.14968,562.34,0.577,401.05
(S)-(-)-2-methylbutylamine,87.16496,525.16,0.379,354.02
(S)-(-)-propylene oxide,58.08004,501.13,0.236,308.05
(S)-(1-methylpropyl)benzene,134.22116,664.65,0.378,457.1
(S)-2-amino-6-methylheptane,129.2456,601.45,0.5,428.15
(S)-2-aminooctane,129.2456,601.45,0.5,437.15
(S)-2-chlorooctane,148.67568,642.41,0.462,442.45
(S)-2-heptylamine,115.21872,565.35,0.409,416.15
(S)-3-methyl-2-butanol,88.14968,562.34,0.577,372.19
"(Z,E)-1,3-cyclooctadiene",108.18328,645,0.286,406.55
(acetyloxy)acetic acid,118.08924,764,0.71,542
(bromomethyl)benzene,171.03658,699,0.318,474.15
(fluoromethyl)benzene,110.1309832,590.48,0.311,413.15
(±)-3-methylvaleric acid,116.16008,661,0.652,469.1
(±)-a-pinene,136.23704,647,0.341,428.75
(±)-b-citronellol,156.2682,656.59,0.612,496.4
(±)-glycidol,74.07944,630,0.672,433.65
"1,1',1''-(1-ethanyl-2-ylidene)trisbenzene",258.36292,840,0.612,622
"1,1'-[methylenebis(thio)]bisethane",136.28228,657.5,0.358,426.65
"1,1'-imidodiacetonitrile",95.10392,731,0.719,527
"1,1,1,2,2,3-hexafluoropropane",152.0392992,401.21,0.409,274.35
"1,1,1,2,2-pentafluoropropane",134.048836,380.11,0.305,255.5
"1,1,1,2,3,3-hexafluoropropane",152.0392992,412.38,0.369,279.4
"1,1,1,2,3-pentafluoropropane",134.048836,403.84,0.33,270
"1,1,1,2-tetrabromoethane",345.65388,800.13,0.544,523.15
"1,1,1,2-tetrabromopropane",359.68076,788.99,0.552,523.15
"1,1,1,2-tetrachloro-2,2-difluoroethane",203.8296064,552,0.257,364.65
"1,1,1,2-tetrachloro-2-fluoroethane",185.8391432,598.6,0.289,390.15
"1,1,1,2-tetrachloroethane",167.84868,624,0.242,403.65
"1,1,1,2-tetrachloropropane",181.87556,646.86,0.28,423.15
"1,1,1,2-tetrafluoroethane",102.0314928,374.18,0.327,247.08
"1,1,1,2-tetrafluoropropane",116.0583728,414.81,0.277,272.15
"1,1,1,2-tetraiodoethane",533.65576,972.04,0.224,614.49
"1,1,1,2-tetraiodopropane",547.68264,992.1,0.239,636.93
"1,1,1,3,3,3-hexafluoropropane",152.0392992,406.85,0.321,272.45
"1,1,1,3,3-pentafluoropropane",134.048836,427.16,0.33,288.45
"1,1,1,3-tetrabromopropane",359.68076,797.25,0.587,533.15
"1,1,1,3-tetrachloropropane",181.87556,654.78,0.31,432.15
"1,1,1,3-tetrafluoropropane",116.0583728,457.1,0.306,302.55
"1,1,1,3-tetraiodopropane",547.68264,983.52,0.268,637.37
"1,1,1-tribromo-2-methylpropane",294.81158,731.86,0.462,485.73
"1,1,1-tribromobutane",294.81158,723.31,0.495,484.15
"1,1,1-tribromodecane",378.97286,786.93,0.762,585.15
"1,1,1-tribromododecane",407.02662,804.01,0.839,613.15
"1,1,1-tribromoeicosane",519.24166,874.1,0.955,708.15
"1,1,1-tribromoethane",266.75782,698.32,0.407,446.15
"1,1,1-tribromoheptadecane",477.16102,847.65,0.96,676.15
"1,1,1-tribromoheptane",336.89222,756.89,0.632,537.15
"1,1,1-tribromohexadecane",463.13414,838.47,0.947,664.15
"1,1,1-tribromohexane",322.86534,746.32,0.586,520.15
"1,1,1-tribromononadecane",505.21478,864.19,0.964,697.15
"1,1,1-tribromononane",364.94598,777.84,0.72,570.15
"1,1,1-tribromooctadecane",491.1879,856.21,0.966,687.15
"1,1,1-tribromooctane",350.9191,767.84,0.676,554.15
"1,1,1-tribromopentadecane",449.10726,829.92,0.927,652.15
"1,1,1-tribromopentane",308.83846,736.13,0.541,503.15
"1,1,1-tribromopropane",280.7847,710.72,0.451,465.15
"1,1,1-tribromotetradecane",435.08038,821.99,0.903,640.15
"1,1,1-tribromotridecane",421.0535,813.37,0.873,627.15
"1,1,1-tribromoundecane",392.99974,795.21,0.802,599.15
"1,1,1-trichloro-2,2,2-trifluoroethane",187.3753096,483,0.267,319.2
"1,1,1-trichloro-2,2-difluoroethane",169.3848464,530.7,0.288,346.15
"1,1,1-trichloro-2-fluoroethane",151.3943832,565,0.25,366
"1,1,1-trichloro-2-methylpropane",161.45768,631.61,0.271,415
"1,1,1-trichlorobutane",161.45768,614.26,0.3,407.15
"1,1,1-trichlorodecane",245.61896,724.19,0.561,535.15
"1,1,1-trichlorododecane",273.67272,751.55,0.638,570.15
"1,1,1-trichloroeicosane",385.88776,841.03,0.774,680.15
"1,1,1-trichloroethane",133.40392,545,0.218,347.23
"1,1,1-trichloroheptadecane",343.80712,808.7,0.766,643.15
"1,1,1-trichloroheptane",203.53832,676.24,0.434,476.15
"1,1,1-trichlorohexadecane",329.78024,798.28,0.75,630.15
"1,1,1-trichlorohexane",189.51144,657.17,0.389,454.15
"1,1,1-trichlorononadecane",371.86088,830.05,0.778,668.15
"1,1,1-trichlorononane",231.59208,710.31,0.52,517.15
"1,1,1-trichlorooctadecane",357.834,819.7,0.775,656.15
"1,1,1-trichlorooctane",217.5652,693.91,0.477,497.15
"1,1,1-trichloropentadecane",315.75336,787.14,0.729,616.15
"1,1,1-trichloropentane",175.48456,635.09,0.345,430.15
"1,1,1-trichloropropane",147.4308,585.43,0.256,379.15
"1,1,1-trichlorotetradecane",301.72648,775.24,0.702,601.15
"1,1,1-trichlorotridecane",287.6996,763.82,0.672,586.15
"1,1,1-trichloroundecane",259.64584,738.37,0.601,553.15
"1,1,1-trifluoro-2-methylpropane",112.0947896,432.9,0.269,285.06
"1,1,1-trifluorobutane",112.0947896,425.8,0.368,289.85
"1,1,1-trifluorodecane",196.2560696,600.1,0.533,442.15
"1,1,1-trifluorododecane",224.3098296,638.2,0.597,481.15
"1,1,1-trifluoroeicosane",336.5248696,743.4,0.746,597.15
"1,1,1-trifluoroethane",84.0410296,345.88,0.261,225.81
"1,1,1-trifluoroheptadecane",294.4442296,710.6,0.713,560.15
"1,1,1-trifluoroheptane",154.1754296,527.9,0.439,374.15
"1,1,1-trifluorohexadecane",280.4173496,698.2,0.682,545.15
"1,1,1-trifluorohexane",140.1485496,498.2,0.409,348.15
"1,1,1-trifluorononadecane",322.4979896,733.2,0.733,585.15
"1,1,1-trifluorononane",182.2291896,578.4,0.505,421.15
"1,1,1-trifluorooctadecane",308.4711096,722.3,0.668,569.15
"1,1,1-trifluorooctane",168.2023096,554.5,0.467,398.15
"1,1,1-trifluoropentadecane",266.3904696,684.8,0.658,530.15
"1,1,1-trifluoropentane",126.1216696,464.5,0.383,320.15
"1,1,1-trifluoropropane",98.0679096,392,0.301,260.15
"1,1,1-trifluorotetradecane",252.3635896,670.4,0.645,515.15
"1,1,1-trifluorotridecane",238.3367096,654.9,0.615,498.15
"1,1,1-trifluoroundecane",210.2829496,620,0.564,462.15
"1,1,1-triiodo-2-methylpropane",435.81299,874.42,0.24,566.67
"1,1,1-triiodobutane",435.81299,867.15,0.269,567.11
"1,1,1-triiododecane",519.97427,961.43,0.532,704.39
"1,1,1-triiodododecane",548.02803,996.02,0.611,750.15
"1,1,1-triiodoethane",407.75923,838.1,0.182,521.35
"1,1,1-triiodoheptane",477.89363,912.73,0.403,635.75
"1,1,1-triiodohexane",463.86675,897.23,0.358,612.87
"1,1,1-triiodononane",505.94739,944.8,0.49,681.51
"1,1,1-triiodooctane",491.92051,928.58,0.447,658.63
"1,1,1-triiodopentane",449.83987,882.04,0.314,589.99
"1,1,1-triiodopropane",421.78611,852.51,0.225,544.23
"1,1,1-triiodotetradecane",576.08179,1032.58,0.679,795.91
"1,1,1-triiodotridecane",562.05491,1014.03,0.647,773.03
"1,1,1-triiodoundecane",534.00115,978.49,0.573,727.27
"1,1,2,2,3,3-hexafluoropropane",152.0392992,417.09,0.358,283.15
"1,1,2,2,3-pentafluoropropane",134.048836,447.44,0.33,299.15
"1,1,2,2-tetrabromoethane",345.65388,824,0.147,516.65
"1,1,2,2-tetrabromopropane",359.68076,766.37,0.552,508.15
"1,1,2,2-tetrachloro-1,2-difluoroethane",203.8296064,551,0.279,366
"1,1,2,2-tetrachloro-1-fluoroethane",185.8391432,598,0.289,389.75
"1,1,2,2-tetrachloroethane",167.84868,645,0.247,418.25
"1,1,2,2-tetrachloropropane",181.87556,654.51,0.28,428.15
"1,1,2,2-tetrafluoroethane",102.0314928,391.8,0.266,250.15
"1,1,2,2-tetrafluoropropane",116.0583728,457.26,0.277,300
"1,1,2,2-tetraiodoethane",533.65576,963.61,0.261,619.12
"1,1,2,2-tetraiodopropane",547.68264,992.1,0.239,636.93
"1,1,2,2-tetramethylcyclopentane",126.24192,609.38,0.258,406.15
"1,1,2,2-tetraphenylethane",334.46068,827,0.732,633.15
"1,1,2,3,3,4,4,4-octafluoro-1-butene",200.0312256,392,0.291,277
"1,1,2,3,3-pentafluoropropane",134.048836,441.38,0.37,300
"1,1,2,3-tetrabromopropane",359.68076,798.18,0.625,538.15
"1,1,2,3-tetrachloropropane",181.87556,677.77,0.342,451.15
"1,1,2,3-tetrafluoropropane",116.0583728,449.44,0.338,300
"1,1,2,3-tetraiodopropane",547.68264,978.29,0.3,639.72
"1,1,2-tribromo-2-methylpropane",294.81158,758.11,0.462,503.15
"1,1,2-tribromobutane",294.81158,725.15,0.531,489.35
"1,1,2-tribromoethane",266.75782,709.9,0.476,462.08
"1,1,2-tribromopropane",280.7847,718.16,0.486,474.15
"1,1,2-trichloro-1,2,2-trifluoroethane",187.3753096,487.25,0.252,320.75
"1,1,2-trichloro-1,2-difluoroethane",169.3848464,530,0.288,345.65
"1,1,2-trichloro-1-fluoroethane",151.3943832,559.78,0.264,361.15
"1,1,2-trichloro-2-fluoroethane",151.3943832,552.93,0.296,375.15
"1,1,2-trichloro-2-methylpropane",161.45768,635.65,0.271,417.65
"1,1,2-trichlorobutane",161.45768,628.34,0.332,420
"1,1,2-trichloroethane",133.40392,602,0.259,387
"1,1,2-trichloropropane",147.4308,619.96,0.287,405.15
"1,1,2-trifluoro-2-methylpropane",112.0947896,432.9,0.269,285.06
"1,1,2-trifluorobutane",112.0947896,429.75,0.33,287.85
"1,1,2-trifluoroethane",84.0410296,429.8,0.326,278.15
"1,1,2-trifluoropropane",98.0679096,404.56,0.285,264.97
"1,1,2-triiodo-2-methylpropane",435.81299,874.42,0.24,566.67
"1,1,2-triiodobutane",435.81299,863.14,0.301,569.46
"1,1,2-triiodoethane",407.75923,825.88,0.242,524.14
"1,1,2-triiodopropane",421.78611,848.18,0.256,546.58
"1,1,2-trimethylcyclohexane",126.24192,624.87,0.267,418.35
"1,1,2-trimethylcyclopentane",112.21504,584.65,0.252,386.88
"1,1,2-trimethylcyclopropane",84.16128,504.34,0.222,325.59
"1,1,3,3-tetrabromopropane",359.68076,813.01,0.625,548.15
"1,1,3,3-tetrachloropropane",181.87556,661.02,0.342,440
"1,1,3,3-tetrafluoropropane",116.0583728,449.44,0.338,300
"1,1,3,3-tetraiodopropane",547.68264,978.29,0.3,639.72
"1,1,3,3-tetramethylcyclopentane",126.24192,586.82,0.258,391.11
"1,1,3,4-tetramethylcyclohexane",140.2688,667,0.274,433.15
"1,1,3-tribromo-2-methylpropane",294.81158,723.92,0.531,488.52
"1,1,3-tribromobutane",294.81158,723.92,0.531,488.52
"1,1,3-tribromopropane",280.7847,718,0.52,478.15
"1,1,3-trichloro-2-methylpropane",161.45768,620.86,0.332,415
"1,1,3-trichlorobutane",161.45768,628.34,0.332,426.15
